कैपुचीन,_onto_nodes,अनुभवहीन,5
खाप,_hypernym,प्रशासन,24332
दर्शक,_hypernym,व्यक्ति,6
सेसोथो,_onto_nodes,सामंजस्य,1
उद्यमहीन,_modifies_noun,व्यक्ति,1
अनन्यार्थ,_modifies_noun,अवस्था,4
बनाती,_onto_nodes,भुक्तभोगी,4
मणिपुरी,_onto_nodes,स्पष्टीकरण,5
उन्माद,_hypernym,रोग,7
झरना,_onto_nodes,मूर्ख,2
ठंडे-ठंडे,_verb,क्रिया,31085
दुग्ध_उत्पाद,_hypernym,उत्पाद,961
गाम्बिया,_hypernym,नदी,20
सारस,_onto_nodes,विटामिन,1
आत्मकेंद्रित,_onto_nodes,भुक्तभोगी,2
सेवन,_hypernym,क्रिया,5
पुरवट,_onto_nodes,मूर्ख,1
तनी,_hypernym,डोरी,25330
आथर्वण,_hypernym,पौराणिक_पुरुष,4
यूरोपीय_संघ,_onto_nodes,स्पष्टीकरण,1
पुरुषत्व,_hypernym,लक्षण,11
अमान,_hypernym,विश्वास,29
ऋषि_पंचमी,_hypernym,पंचमी,44
ऋष्यमूक_पर्वत,_hypernym,पौराणिक_वस्तु,3
इलाहाबाद_जिला,_hypernym,जिला,2
चित्रा,_hypernym,रागिनी,10
दंड,_hypernym,राक्षस,31279
शिवसागर_जिला,_hypernym,जिला,1
अम्मान,_hypernym,राजधानी,5
पैठनी_साड़ी,_onto_nodes,मूर्ख,1
सांसारिक,_modifies_noun,तत्त्व,6
अष्टपदी,_hypernym,समुदाय,759
सीट,_onto_nodes,मूर्ख,26
असंभार,_modifies_noun,काम,9
क़लम,_onto_nodes,योग्य,3
छात्रावासी,_modifies_noun,व्यक्ति,3
परिचय_कराना,_hypernym,काम_करना,3
ओकोलेहाओ,_hypernym,शराब,98
बैठाना,_hypernym,काम_कराना,3
चौखट,_onto_nodes,मूर्ख,148
पीठिका,_hypernym,आधार,665
इतने_में,_derived_from,इतना,10750
गारुड़,_modifies_noun,अवस्था,3
जलमग्न,_modifies_noun,स्थान,9
ताश,_meronym,कागज,2811
ख़लीफ़ा,_hypernym,मौलवी,3310
तौलवाई,_onto_nodes,फूहड़,5
हाँफना,_causative,हँफाना,129
सेंधमारी,_onto_nodes,अंधानुकरण,2
लाखा,_hypernym,रंग,28077
नेफा,_onto_nodes,क्रिया,2
अपवश,_modifies_noun,क्रिया,3
फरार,_hypernym,व्यक्ति,1
अन्नत्याग,_hypernym,हड़ताल,2187
चौतरफा,_onto_nodes,विरोध,4
अति-उत्साही,_onto_nodes,भुक्तभोगी,2
बेक़ाबू,_onto_nodes,समझौता,4
मनोरोग-विज्ञानी,_onto_nodes,खाद्य_वस्तु,1
अधार्मिक,_onto_nodes,भुक्तभोगी,1
निरप्र,_onto_nodes,भुक्तभोगी,2
दूरसंचार_विभाग,_hypernym,विभाग,9
अवाक्पुष्पी,_hypernym,पौधा,1
बेसब्र,_onto_nodes,भुक्तभोगी,1
परंपरावादी,_onto_nodes,समझौता,2
बयालीसवाँ,_modifies_noun,क्रिया,4
चोर-दंत,_onto_nodes,योग्य,1
परसों,_hypernym,दिन,1
नंदिनी,_hypernym,पौराणिक_जीव,560
कब्जा,_hypernym,वस्तु-भाग,1
करधनी,_hypernym,आभूषण,147
ताऊस,_onto_nodes,मूर्ख,1
सामवेदीय,_modifies_noun,काम,8
आयतन,_onto_nodes,बदनामी,40
केनसिंगटन_प्राइड,_hypernym,आम,1
बदहाली,_onto_nodes,असामंजस्यता,1
जिगीषा,_hypernym,इच्छा,345
शीशी,_meronym,शीशा,427
डोल,_hypernym,चिकनी_मिट्टी,580
छूटना,_onto_nodes,भिन्नरूपी,24
कासनी,_meronym,कासनी,814
हरा_रंग,_hypernym,मुख्य_रंग,603
पक्व,_onto_nodes,विरोध,1
बागपत,_hypernym,शहर,1
आरभटी,_hypernym,भाषा_शैली,5270
चेक_इन,_onto_nodes,अंधानुकरण,2
देवरक्षित,_hypernym,पौराणिक_पुरुष,1
कांड,_hypernym,भाग,1
चालीस,_modifies_noun,क्रिया,10
समाविष्ट,_onto_nodes,विरोध,3
पुनरावेदक,_onto_nodes,खाद्य_वस्तु,1
वेलूर,_onto_nodes,पितृहीन,1
लहराना,_hypernym,चलना,2
बंगली,_onto_nodes,मूर्ख,2
पिछड़ा,_modifies_noun,काम,93
छुड़ाई,_hypernym,क्रिया,1
पासा_पलटना,_hypernym,काम_करना,2
सैन_जोसे,_hypernym,राजधानी,5
सीमा,_onto_nodes,पितृहीन,62
गवाही_देना,_hypernym,कहना,27184
कट्ठा,_onto_nodes,नामक,13
काहिराई,_onto_nodes,समझौता,2
मरवट,_onto_nodes,अप्रचलित,42
केवड़ई,_onto_nodes,ज्ञान,35
रानीखेत,_onto_nodes,पितृहीन,1
पाटल,_hypernym,पेड़,1
आयाम,_hypernym,लक्षण,139
अधिरूढ़,_onto_nodes,विरोध,2
शिवसेना,_onto_nodes,स्पष्टीकरण,1
वृत्त_चित्र,_hypernym,सिनेमा,60
डोका,_meronym,काठ,3
भूरलोखरिया,_attributes,रेतीला,3
भजियाउर,_onto_nodes,मूर्ख,2
कॉलोनी,_meronym,शिक्षणालय,6098
चीज़,_hypernym,वस्तु,7
अर्धकुशल,_modifies_noun,अवस्था,4
चक्रधर,_onto_nodes,प्रयत्नपूर्वक,1
अनुलंबखाता,_onto_nodes,मूर्ख,1
काला_सागर,_onto_nodes,फूहड़,20
सादा,_modifies_noun,अवस्था,4
झटके_से,_verb,होना,2
इंद्रव्रत,_onto_nodes,खाद्य_वस्तु,1
ईर्ष्यापूर्वक,_onto_nodes,जिम्मेदारी,895
दिवसीय,_also_see,दिन,30573
दशावतार,_meronym,परशुराम,2980
सीधा,_onto_nodes,भुक्तभोगी,2
आखेट_करना,_onto_nodes,स्वपक्षीय,1
शोणितार्श,_onto_nodes,उपस्थित,1
हवाई,_hypernym,शहर,9
आवर्तित,_modifies_noun,वस्तु,1
अंतर्जातीय,_onto_nodes,समझौता,1
येन,_hypernym,मुद्रा,18
खर्राटा_लेना,_entailment,सोना,25486
बुलिन,_onto_nodes,मूर्ख,1
अनुद्धृत,_onto_nodes,भुक्तभोगी,2
तोशक,_onto_nodes,मूर्ख,2
वर्षा,_hypernym,क्रिया,21191
कृमि,_hypernym,कीड़ा,1
अमिट,_modifies_noun,वस्तु,2
निर्भरता,_hypernym,अवस्था,1
बजाय,_verb,होना,2
हेमचन्द्र,_onto_nodes,हारमोनियम,1
तर्कशास्त्र,_onto_nodes,दयालुता,200
बनाना,_onto_nodes,अनुसार,3
हविर्भू,_hypernym,पौराणिक_महिला,34
मरोड़फली,_onto_nodes,आगत,3
जल्दी,_verb,काम_करना,1
अनामिका,_hypernym,पुस्तक,29631
